2025-07-17 10:52:30,440 | g2_inventory_debug | DEBUG | log_g2_debug | [10:52:3] WebSocket client connected: LAdpbz6G_gd9hLJIAAAB
2025-07-17 11:12:23,449 | g2_inventory_debug | DEBUG | log_g2_debug | [11:12:2] WebSocket client disconnected: 4TCcp347uiICo0aXAAAB
2025-07-17 11:12:23,449 | g2_inventory_debug | DEBUG | log_g2_debug | [11:12:2] Total connected clients: 0
2025-07-17 11:12:23,619 | g2_inventory_debug | DEBUG | log_g2_debug | [11:12:2] WebSocket client connected: FoO-W-Mgvm479HZrAAAD
2025-07-17 11:12:23,620 | g2_inventory_debug | DEBUG | log_g2_debug | [11:12:2] Total connected clients: 1
2025-07-17 11:23:43,865 | g2_inventory_debug | DEBUG | log_g2_debug | [11:23:4] WebSocket client connected: kkaiKI_qQNFUWrFoAAAB
2025-07-17 11:23:43,866 | g2_inventory_debug | DEBUG | log_g2_debug | [11:23:4] Total connected clients: 1
2025-07-17 11:23:44,199 | g2_inventory_debug | DEBUG | log_g2_debug | [11:23:4] WebSocket client disconnected: kkaiKI_qQNFUWrFoAAAB
2025-07-17 11:23:44,199 | g2_inventory_debug | DEBUG | log_g2_debug | [11:23:4] Total connected clients: 0
2025-07-17 11:23:44,386 | g2_inventory_debug | DEBUG | log_g2_debug | [11:23:4] WebSocket client connected: KR0Gkh-YeSDgOp1HAAAD
2025-07-17 11:23:44,387 | g2_inventory_debug | DEBUG | log_g2_debug | [11:23:4] Total connected clients: 1
2025-07-17 11:24:53,148 | g2_inventory_debug | DEBUG | log_g2_debug | [11:24:5] WebSocket client connected: 7OnO6AqSe6ZyQn0_AAAB
2025-07-17 11:24:53,149 | g2_inventory_debug | DEBUG | log_g2_debug | [11:24:5] Total connected clients: 1
2025-07-17 11:24:54,380 | g2_inventory_debug | DEBUG | log_g2_debug | [11:24:5] WebSocket client disconnected: 7OnO6AqSe6ZyQn0_AAAB
2025-07-17 11:24:54,381 | g2_inventory_debug | DEBUG | log_g2_debug | [11:24:5] Total connected clients: 0
2025-07-17 11:24:54,570 | g2_inventory_debug | DEBUG | log_g2_debug | [11:24:5] WebSocket client connected: hpx-mOg7pAXltqW7AAAD
2025-07-17 11:24:54,572 | g2_inventory_debug | DEBUG | log_g2_debug | [11:24:5] Total connected clients: 1
2025-07-17 11:25:54,412 | g2_inventory_debug | DEBUG | log_g2_debug | [11:25:5] WebSocket client connected: 3PQZfEDUo1fdlHVYAAAB
2025-07-17 11:25:54,414 | g2_inventory_debug | DEBUG | log_g2_debug | [11:25:5] Total connected clients: 1
2025-07-17 11:30:44,483 | g2_inventory_debug | DEBUG | log_g2_debug | [11:30:4] WebSocket client connected: UMdq9aTcl3GdgzTTAAAB
2025-07-17 11:30:44,485 | g2_inventory_debug | DEBUG | log_g2_debug | [11:30:4] Total connected clients: 1
2025-07-17 11:32:54,198 | g2_inventory_debug | DEBUG | log_g2_debug | [11:32:5] WebSocket client connected: 8lDZOFMKxrs4n0r7AAAB
2025-07-17 11:32:54,201 | g2_inventory_debug | DEBUG | log_g2_debug | [11:32:5] Total connected clients: 1
2025-07-17 11:33:24,057 | g2_inventory_debug | DEBUG | log_g2_debug | [11:33:2] WebSocket client connected: h0d-v0BeAgPUSPSzAAAB
2025-07-17 11:33:24,058 | g2_inventory_debug | DEBUG | log_g2_debug | [11:33:2] Total connected clients: 1
2025-07-17 11:33:42,530 | g2_inventory_debug | DEBUG | log_g2_debug | [11:33:4] WebSocket client connected: EpfADJBx3l6rCklGAAAB
2025-07-17 11:33:42,531 | g2_inventory_debug | DEBUG | log_g2_debug | [11:33:4] Total connected clients: 1
2025-07-17 11:38:24,135 | g2_inventory_debug | DEBUG | log_g2_debug | [11:38:2] WebSocket client connected: bC3CRTYwEgKOgd78AAAB
2025-07-17 11:38:24,141 | g2_inventory_debug | DEBUG | log_g2_debug | [11:38:2] Total connected clients: 1
2025-07-17 11:38:26,048 | g2_inventory_debug | DEBUG | log_g2_debug | [11:38:2] WebSocket client disconnected: bC3CRTYwEgKOgd78AAAB
2025-07-17 11:38:26,048 | g2_inventory_debug | DEBUG | log_g2_debug | [11:38:2] Total connected clients: 0
2025-07-17 11:38:26,301 | g2_inventory_debug | DEBUG | log_g2_debug | [11:38:2] WebSocket client connected: YhgfFSac4RqhVNnNAAAD
2025-07-17 11:38:26,309 | g2_inventory_debug | DEBUG | log_g2_debug | [11:38:2] Total connected clients: 1
2025-07-17 11:40:12,139 | g2_inventory_debug | DEBUG | log_g2_debug | [11:40:1] WebSocket client connected: 19gLCBXaarT38K4FAAAB
2025-07-17 11:40:12,144 | g2_inventory_debug | DEBUG | log_g2_debug | [11:40:1] Total connected clients: 1
2025-07-17 11:40:14,798 | g2_inventory_debug | DEBUG | log_g2_debug | [11:40:1] WebSocket client disconnected: 19gLCBXaarT38K4FAAAB
2025-07-17 11:40:14,799 | g2_inventory_debug | DEBUG | log_g2_debug | [11:40:1] Total connected clients: 0
2025-07-17 11:40:15,033 | g2_inventory_debug | DEBUG | log_g2_debug | [11:40:1] WebSocket client connected: zgQLSXtNivHTIvmHAAAD
2025-07-17 11:40:15,036 | g2_inventory_debug | DEBUG | log_g2_debug | [11:40:1] Total connected clients: 1
2025-07-17 11:40:29,021 | g2_inventory_debug | DEBUG | log_g2_debug | [11:40:2] WebSocket client connected: v4lysIEzNr0AV55yAAAB
2025-07-17 11:40:29,023 | g2_inventory_debug | DEBUG | log_g2_debug | [11:40:2] Total connected clients: 1
2025-07-17 11:42:27,129 | g2_inventory_debug | DEBUG | log_g2_debug | [11:42:2] WebSocket client connected: H4l0Lq9gXXThzHgrAAAB
2025-07-17 11:42:27,130 | g2_inventory_debug | DEBUG | log_g2_debug | [11:42:2] Total connected clients: 1
2025-07-17 11:45:16,144 | g2_inventory_debug | DEBUG | log_g2_debug | [11:45:1] WebSocket client connected: SGZPnTKV3W56K6jSAAAB
2025-07-17 11:45:16,145 | g2_inventory_debug | DEBUG | log_g2_debug | [11:45:1] Total connected clients: 1
2025-07-17 11:45:19,134 | g2_inventory_debug | DEBUG | log_g2_debug | [11:45:1] WebSocket client connected: nULs0yBmUNRBT_2FAAAB
2025-07-17 11:45:19,135 | g2_inventory_debug | DEBUG | log_g2_debug | [11:45:1] Total connected clients: 1
2025-07-17 11:45:29,132 | g2_inventory_debug | DEBUG | log_g2_debug | [11:45:2] WebSocket client connected: CIw6VcaKJCbv8TRRAAAB
2025-07-17 11:45:29,135 | g2_inventory_debug | DEBUG | log_g2_debug | [11:45:2] Total connected clients: 1
2025-07-17 11:45:46,138 | g2_inventory_debug | DEBUG | log_g2_debug | [11:45:4] WebSocket client connected: 3glJR7Xjq24j4dPOAAAB
2025-07-17 11:45:46,138 | g2_inventory_debug | DEBUG | log_g2_debug | [11:45:4] Total connected clients: 1
2025-07-17 11:46:37,149 | g2_inventory_debug | DEBUG | log_g2_debug | [11:46:3] WebSocket client connected: 4JnNWsG1b2zDMXemAAAB
2025-07-17 11:46:37,151 | g2_inventory_debug | DEBUG | log_g2_debug | [11:46:3] Total connected clients: 1
2025-07-17 11:46:45,245 | g2_inventory_debug | DEBUG | log_g2_debug | [11:46:4] WebSocket client connected: I93Zu_SgqjFCqN-TAAAB
2025-07-17 11:46:45,245 | g2_inventory_debug | DEBUG | log_g2_debug | [11:46:4] Total connected clients: 1
2025-07-17 11:46:50,131 | g2_inventory_debug | DEBUG | log_g2_debug | [11:46:5] WebSocket client connected: 0i97-qcaRysDmATbAAAB
2025-07-17 11:46:50,133 | g2_inventory_debug | DEBUG | log_g2_debug | [11:46:5] Total connected clients: 1
2025-07-17 11:46:55,134 | g2_inventory_debug | DEBUG | log_g2_debug | [11:46:5] WebSocket client connected: veRbsfiaOgftokdhAAAB
2025-07-17 11:46:55,135 | g2_inventory_debug | DEBUG | log_g2_debug | [11:46:5] Total connected clients: 1
2025-07-17 11:47:00,130 | g2_inventory_debug | DEBUG | log_g2_debug | [11:47:0] WebSocket client connected: 24uCTTiEI1AjIZM0AAAB
2025-07-17 11:47:00,130 | g2_inventory_debug | DEBUG | log_g2_debug | [11:47:0] Total connected clients: 1
2025-07-17 11:47:16,140 | g2_inventory_debug | DEBUG | log_g2_debug | [11:47:1] WebSocket client connected: JODferbj7raiS4UyAAAB
2025-07-17 11:47:16,141 | g2_inventory_debug | DEBUG | log_g2_debug | [11:47:1] Total connected clients: 1
2025-07-17 11:47:22,134 | g2_inventory_debug | DEBUG | log_g2_debug | [11:47:2] WebSocket client connected: UTSqHfJOYh6uELF3AAAB
2025-07-17 11:47:22,136 | g2_inventory_debug | DEBUG | log_g2_debug | [11:47:2] Total connected clients: 1
2025-07-17 11:48:36,140 | g2_inventory_debug | DEBUG | log_g2_debug | [11:48:3] WebSocket client connected: cSmOrX0djUQ6XhXEAAAB
2025-07-17 11:48:36,140 | g2_inventory_debug | DEBUG | log_g2_debug | [11:48:3] Total connected clients: 1
2025-07-17 11:48:54,143 | g2_inventory_debug | DEBUG | log_g2_debug | [11:48:5] WebSocket client connected: jjOFOBi8Io1GRHxPAAAB
2025-07-17 11:48:54,145 | g2_inventory_debug | DEBUG | log_g2_debug | [11:48:5] Total connected clients: 1
2025-07-17 11:48:59,130 | g2_inventory_debug | DEBUG | log_g2_debug | [11:48:5] WebSocket client connected: Am8PMsIAk-fKykvpAAAB
2025-07-17 11:48:59,131 | g2_inventory_debug | DEBUG | log_g2_debug | [11:48:5] Total connected clients: 1
2025-07-17 11:49:29,130 | g2_inventory_debug | DEBUG | log_g2_debug | [11:49:2] WebSocket client connected: 3aEUJb-9V8VUpCzRAAAB
2025-07-17 11:49:29,132 | g2_inventory_debug | DEBUG | log_g2_debug | [11:49:2] Total connected clients: 1
2025-07-17 11:49:34,131 | g2_inventory_debug | DEBUG | log_g2_debug | [11:49:3] WebSocket client connected: WuT8mjcSyOHciAYTAAAB
2025-07-17 11:49:34,131 | g2_inventory_debug | DEBUG | log_g2_debug | [11:49:3] Total connected clients: 1
2025-07-17 11:49:41,137 | g2_inventory_debug | DEBUG | log_g2_debug | [11:49:4] WebSocket client connected: ZZ2QmSzLTc_5ngRKAAAB
2025-07-17 11:49:41,138 | g2_inventory_debug | DEBUG | log_g2_debug | [11:49:4] Total connected clients: 1
2025-07-17 11:50:12,144 | g2_inventory_debug | DEBUG | log_g2_debug | [11:50:1] WebSocket client connected: GeHJ89V5-p4DAAX-AAAB
2025-07-17 11:50:12,148 | g2_inventory_debug | DEBUG | log_g2_debug | [11:50:1] Total connected clients: 1
2025-07-17 11:50:14,133 | g2_inventory_debug | DEBUG | log_g2_debug | [11:50:1] WebSocket client connected: TyXrWb09qTWG8gynAAAB
2025-07-17 11:50:14,134 | g2_inventory_debug | DEBUG | log_g2_debug | [11:50:1] Total connected clients: 1
2025-07-17 11:50:24,142 | g2_inventory_debug | DEBUG | log_g2_debug | [11:50:2] WebSocket client connected: ilQxnL9iH2l6Wsy8AAAB
2025-07-17 11:50:24,143 | g2_inventory_debug | DEBUG | log_g2_debug | [11:50:2] Total connected clients: 1
2025-07-17 11:50:26,140 | g2_inventory_debug | DEBUG | log_g2_debug | [11:50:2] WebSocket client connected: GTZUJaLO5az4HL8mAAAB
2025-07-17 11:50:26,141 | g2_inventory_debug | DEBUG | log_g2_debug | [11:50:2] Total connected clients: 1
2025-07-17 11:56:34,789 | g2_inventory_debug | DEBUG | log_g2_debug | [11:56:3] WebSocket client connected: 0J1hmAcZehbMupIRAAAB
2025-07-17 11:56:34,790 | g2_inventory_debug | DEBUG | log_g2_debug | [11:56:3] Total connected clients: 1
2025-07-17 13:11:31,871 | g2_inventory_debug | DEBUG | log_g2_debug | [13:11:3] WebSocket client connected: wKKz6COKz7MtNT26AAAB
2025-07-17 13:11:31,872 | g2_inventory_debug | DEBUG | log_g2_debug | [13:11:3] Total connected clients: 1
2025-07-17 13:11:43,952 | g2_inventory_debug | DEBUG | log_g2_debug | [13:11:4] WebSocket client disconnected: wKKz6COKz7MtNT26AAAB
2025-07-17 13:11:43,953 | g2_inventory_debug | DEBUG | log_g2_debug | [13:11:4] Total connected clients: 0
2025-07-17 13:11:44,113 | g2_inventory_debug | DEBUG | log_g2_debug | [13:11:4] WebSocket client connected: v4ietFkVHzVW5WtzAAAD
2025-07-17 13:11:44,114 | g2_inventory_debug | DEBUG | log_g2_debug | [13:11:4] Total connected clients: 1
2025-07-17 13:11:46,770 | g2_inventory_debug | DEBUG | log_g2_debug | [13:11:4] WebSocket client disconnected: v4ietFkVHzVW5WtzAAAD
2025-07-17 13:11:46,771 | g2_inventory_debug | DEBUG | log_g2_debug | [13:11:4] Total connected clients: 0
2025-07-17 13:11:47,061 | g2_inventory_debug | DEBUG | log_g2_debug | [13:11:4] WebSocket client connected: VlzFcnELfoPJU2oNAAAF
2025-07-17 13:11:47,062 | g2_inventory_debug | DEBUG | log_g2_debug | [13:11:4] Total connected clients: 1
2025-07-17 13:14:09,467 | g2_inventory_debug | DEBUG | log_g2_debug | [13:14:0] WebSocket client connected: 8bZl_thJ_Q4o5nGCAAAB
2025-07-17 13:14:09,469 | g2_inventory_debug | DEBUG | log_g2_debug | [13:14:0] Total connected clients: 1
2025-07-17 13:15:42,050 | g2_inventory_debug | DEBUG | log_g2_debug | [13:15:4] WebSocket client connected: k6WHK58nc5bA-IPOAAAB
2025-07-17 13:15:42,052 | g2_inventory_debug | DEBUG | log_g2_debug | [13:15:4] Total connected clients: 1
2025-07-17 13:17:44,479 | g2_inventory_debug | DEBUG | log_g2_debug | [13:17:4] WebSocket client connected: lFTOyve49iJV5CjpAAAB
2025-07-17 13:17:44,481 | g2_inventory_debug | DEBUG | log_g2_debug | [13:17:4] Total connected clients: 1
2025-07-17 13:18:12,468 | g2_inventory_debug | DEBUG | log_g2_debug | [13:18:1] WebSocket client connected: Y-z98nEyWVLpyaLoAAAB
2025-07-17 13:18:12,470 | g2_inventory_debug | DEBUG | log_g2_debug | [13:18:1] Total connected clients: 1
2025-07-17 13:20:20,465 | g2_inventory_debug | DEBUG | log_g2_debug | [13:20:2] WebSocket client connected: tiy3h3mUW9JuSAnKAAAB
2025-07-17 13:20:20,466 | g2_inventory_debug | DEBUG | log_g2_debug | [13:20:2] Total connected clients: 1
2025-07-17 13:20:24,454 | g2_inventory_debug | DEBUG | log_g2_debug | [13:20:2] WebSocket client connected: Ly-UwkrVgDq28tvZAAAB
2025-07-17 13:20:24,454 | g2_inventory_debug | DEBUG | log_g2_debug | [13:20:2] Total connected clients: 1
2025-07-17 13:20:27,454 | g2_inventory_debug | DEBUG | log_g2_debug | [13:20:2] WebSocket client connected: LcO-uKqabM3YXTVIAAAB
2025-07-17 13:20:27,455 | g2_inventory_debug | DEBUG | log_g2_debug | [13:20:2] Total connected clients: 1
2025-07-17 13:23:47,462 | g2_inventory_debug | DEBUG | log_g2_debug | [13:23:4] WebSocket client connected: Xnc-mlrpH8N7RdrAAAAB
2025-07-17 13:23:47,463 | g2_inventory_debug | DEBUG | log_g2_debug | [13:23:4] Total connected clients: 1
2025-07-17 13:24:14,465 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:1] WebSocket client connected: XlXVl8NYVTCzSks0AAAB
2025-07-17 13:24:14,468 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:1] Total connected clients: 1
2025-07-17 13:24:33,559 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:3] WebSocket client connected: d-fGwGYwEXo_w-40AAAB
2025-07-17 13:24:33,560 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:3] Total connected clients: 1
2025-07-17 13:24:39,472 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:3] WebSocket client connected: T4-w_cYmAHfZcF3qAAAB
2025-07-17 13:24:39,473 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:3] Total connected clients: 1
2025-07-17 13:24:48,912 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:4] WebSocket client disconnected: T4-w_cYmAHfZcF3qAAAB
2025-07-17 13:24:48,912 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:4] Total connected clients: 0
2025-07-17 13:24:49,099 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:4] WebSocket client connected: V1CpSaL0SVwzpvwlAAAD
2025-07-17 13:24:49,108 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:4] Total connected clients: 1
2025-07-17 13:24:50,843 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:5] WebSocket client disconnected: V1CpSaL0SVwzpvwlAAAD
2025-07-17 13:24:50,843 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:5] Total connected clients: 0
2025-07-17 13:24:51,089 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:5] WebSocket client connected: IAemrC1pKJ7MM_JpAAAF
2025-07-17 13:24:51,092 | g2_inventory_debug | DEBUG | log_g2_debug | [13:24:5] Total connected clients: 1
2025-07-17 13:29:49,289 | g2_inventory_debug | DEBUG | log_g2_debug | [13:29:4] WebSocket client connected: pFe7srVcy13QVmKCAAAB
2025-07-17 13:29:49,290 | g2_inventory_debug | DEBUG | log_g2_debug | [13:29:4] Total connected clients: 1
2025-07-17 13:29:50,797 | g2_inventory_debug | DEBUG | log_g2_debug | [13:29:5] WebSocket client disconnected: pFe7srVcy13QVmKCAAAB
2025-07-17 13:29:50,797 | g2_inventory_debug | DEBUG | log_g2_debug | [13:29:5] Total connected clients: 0
2025-07-17 13:29:51,123 | g2_inventory_debug | DEBUG | log_g2_debug | [13:29:5] WebSocket client connected: RBbKx3FWMbYwe_0QAAAD
2025-07-17 13:29:51,128 | g2_inventory_debug | DEBUG | log_g2_debug | [13:29:5] Total connected clients: 1
2025-07-17 13:30:35,025 | g2_inventory_debug | DEBUG | log_g2_debug | [13:30:3] WebSocket client connected: kQ_JNJXDUrC280UVAAAB
2025-07-17 13:30:35,027 | g2_inventory_debug | DEBUG | log_g2_debug | [13:30:3] Total connected clients: 1
2025-07-17 13:30:50,387 | g2_inventory_debug | DEBUG | log_g2_debug | [13:30:5] WebSocket client connected: VQR4VhGlhQdKW04iAAAB
2025-07-17 13:30:50,387 | g2_inventory_debug | DEBUG | log_g2_debug | [13:30:5] Total connected clients: 1
2025-07-17 13:31:34,758 | g2_inventory_debug | DEBUG | log_g2_debug | [13:31:3] WebSocket client connected: zrZ3USqNpH0CIiwuAAAB
2025-07-17 13:31:34,759 | g2_inventory_debug | DEBUG | log_g2_debug | [13:31:3] Total connected clients: 1
2025-07-17 13:31:48,627 | g2_inventory_debug | DEBUG | log_g2_debug | [13:31:4] WebSocket client connected: zSS84mqPqKFK9a_aAAAB
2025-07-17 13:31:48,628 | g2_inventory_debug | DEBUG | log_g2_debug | [13:31:4] Total connected clients: 1
2025-07-17 13:31:52,864 | g2_inventory_debug | DEBUG | log_g2_debug | [13:31:5] WebSocket client connected: NZH017DJUNSm4-CKAAAB
2025-07-17 13:31:52,864 | g2_inventory_debug | DEBUG | log_g2_debug | [13:31:5] Total connected clients: 1
2025-07-17 13:32:02,751 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] === FUNCTION START ===
2025-07-17 13:32:02,752 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Input parameters | Params: {'read_mode': 254, 'select_antenna': '0x0001'}
2025-07-17 13:32:02,752 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Current Session before preset | Params: {'current_session': 0}
2025-07-17 13:32:02,752 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Read mode > 0, proceeding with target setup
2025-07-17 13:32:02,752 | g2_inventory_debug | DEBUG | log_g2_debug | [13:32:0] Getting reader information for ModeType
2025-07-17 13:32:02,752 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Mode type determined | Params: {'mode_type': 2}
2025-07-17 13:32:02,752 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Using default antenna number based on mode type | Params: {'antenna_num': 1, 'mode_type': 2}
2025-07-17 13:32:02,752 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Antenna number determined | Params: {'antenna_num': 1}
2025-07-17 13:32:02,752 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Processing RRUx180 special mode (253/254)
2025-07-17 13:32:02,752 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Switching to Session 254
2025-07-17 13:32:02,752 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Setting Profile to 0xC5 for read_mode 254
2025-07-17 13:32:02,789 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Set profile result | Params: {'profile': '0x05', 'result': 0}
2025-07-17 13:32:02,789 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Final session value | Params: {'final_session': 254}
2025-07-17 13:32:02,789 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] === FUNCTION END ===
2025-07-17 13:32:02,790 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] === FUNCTION START ===
2025-07-17 13:32:02,790 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Initial state | Params: {'session': 254, 'mode_type': 'epc', 'target': 0, 'to_stop_thread': False}
2025-07-17 13:32:02,790 | g2_inventory_debug | DEBUG | log_g2_debug | [13:32:0] === CYCLE 1 START ===
2025-07-17 13:32:02,791 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Manual session mode (Session 254)
2025-07-17 13:32:02,791 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Antenna cycling | Params: {'antenna_num': 4, 'session': 254, 'mode_type': 2}
2025-07-17 13:32:02,791 | g2_inventory_debug | DEBUG | log_g2_debug | [13:32:0] Processing antenna 1 | Params: {'in_ant': 128, 'fast_flag': 1, 'ant_enabled': True}
2025-07-17 13:32:02,791 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Calling flash_g2() for antenna 1
2025-07-17 13:32:02,791 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] === FUNCTION START ===
2025-07-17 13:32:02,791 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Parameters for inventory_g2 call | Params: {'q_value': 4, 'session': 254, 'scan_time': 50, 'scan_time_ms': 5000, 'target': 0, 'target_name': 'Target A', 'in_ant': 128, 'in_ant_hex': '0x80', 'tid_flag': 0, 'tid_addr': 0, 'tid_addr_hex': '0x00', 'tid_len': 0, 'mode_type': 'epc'}
2025-07-17 13:32:02,791 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Calling reader.inventory_g2()
2025-07-17 13:32:02,831 | g2_inventory_debug | INFO | log_g2_debug | [13:32:0] Inventory successful | Params: {'tags_found': 0, 'result': 0}
